Time,Butler Trail : Crenshaw Bridge - Urban Trail,Butler Trail: South Lamar - Urban Trail,Butler Trail: North Congress - Urban Trail,Butler Trail : Longhorn Dam - Urban Trail,Shoal Creek Trail & 24th St- Urban Trail
9/17/17 0:00,5037,,,,129
9/18/17 0:00,3293,,,,118
9/19/17 0:00,3437,,,,141
9/20/17 0:00,2959,,,,149
9/21/17 0:00,3372,,,,135
9/22/17 0:00,3338,,,,134
9/23/17 0:00,6097,,,,151
9/24/17 0:00,5416,,,,146
9/25/17 0:00,3842,,,,117
9/26/17 0:00,2804,,,,106
9/27/17 0:00,3271,,,,134
9/28/17 0:00,3279,,,,120
9/29/17 0:00,2130,,,,87
9/30/17 0:00,7162,,,,963
10/1/17 0:00,6638,,,,600
10/2/17 0:00,4031,,,,214
10/3/17 0:00,2787,,,,111
10/4/17 0:00,3180,,,,143
10/5/17 0:00,3977,,,,172
10/6/17 0:00,16480,,,,195
10/7/17 0:00,19518,,,,177
10/8/17 0:00,17446,,,,192
10/9/17 0:00,3207,,,,121
10/10/17 0:00,4869,,,,211
10/11/17 0:00,4891,,,,189
10/12/17 0:00,4270,,,,164
10/13/17 0:00,14530,,,,185
10/14/17 0:00,18915,,,,159
10/15/17 0:00,17263,,,,154
10/16/17 0:00,5080,,,,200
10/17/17 0:00,4654,,,,185
10/18/17 0:00,4358,,,,171
10/19/17 0:00,4336,,,,164
10/20/17 0:00,3682,,,,138
10/21/17 0:00,5494,,,,176
10/22/17 0:00,5398,,,,144
10/23/17 0:00,5117,,,,136
10/24/17 0:00,5023,,,,191
10/25/17 0:00,4616,,,,151
10/26/17 0:00,4519,,,,203
10/27/17 0:00,3237,,,,126
10/28/17 0:00,5212,,,,124
10/29/17 0:00,6002,,,,127
10/30/17 0:00,4331,,,,170
10/31/17 0:00,2453,,,,87
11/1/17 0:00,3831,,,,157
11/2/17 0:00,3920,,,,178
11/3/17 0:00,3539,,,,132
11/4/17 0:00,6020,,,,157
11/5/17 0:00,5711,,,,164
11/6/17 0:00,3957,,,,146
11/7/17 0:00,4160,,,,171
11/8/17 0:00,1823,,,,71
11/9/17 0:00,3148,,,,104
11/10/17 0:00,3833,,,,135
11/11/17 0:00,6899,,,,167
11/12/17 0:00,5880,,,,169
11/13/17 0:00,4312,,,,169
11/14/17 0:00,4259,,,,157
11/15/17 0:00,3749,,,,180
11/16/17 0:00,4000,,,,134
11/17/17 0:00,3573,,,,145
11/18/17 0:00,5899,,,,242
11/19/17 0:00,6182,,,,121
11/20/17 0:00,3719,,,,112
11/21/17 0:00,3977,,,,127
11/22/17 0:00,3761,,,,84
11/23/17 0:00,3861,,,,99
11/24/17 0:00,5298,,,,91
11/25/17 0:00,6689,,,,159
11/26/17 0:00,7501,,,,174
11/27/17 0:00,4042,,,,159
11/28/17 0:00,4422,,,,166
11/29/17 0:00,4213,,,,211
11/30/17 0:00,3882,,,,144
12/1/17 0:00,3918,,,,154
12/2/17 0:00,8151,,,,279
12/3/17 0:00,5239,,,,102
12/4/17 0:00,3557,,,,160
12/5/17 0:00,2445,,,,109
12/6/17 0:00,526,,,,19
12/7/17 0:00,1232,,,,57
12/8/17 0:00,2099,,,,84
12/9/17 0:00,9024,,,,140
12/10/17 0:00,8243,,,,149
12/11/17 0:00,4725,,,,149
12/12/17 0:00,4349,,,,151
12/13/17 0:00,4080,,,,144
12/14/17 0:00,4066,,,,126
12/15/17 0:00,4371,,,,140
12/16/17 0:00,3043,,,,45
12/17/17 0:00,4588,,,,84
12/18/17 0:00,3549,,,,102
12/19/17 0:00,1601,,,,14
12/20/17 0:00,7843,,,,172
12/21/17 0:00,8307,,,,157
12/22/17 0:00,1366,,,,57
12/23/17 0:00,7824,,,,76
12/24/17 0:00,3920,,,,63
12/25/17 0:00,3069,,,,68
12/26/17 0:00,2016,,,,59
12/27/17 0:00,1656,,,,34
12/28/17 0:00,2643,,,,65
12/29/17 0:00,2758,,,,57
12/30/17 0:00,6173,,,,117
12/31/17 0:00,2128,,,,42
1/1/18 0:00,1345,,,,23
1/2/18 0:00,1003,,,,36
1/3/18 0:00,2823,,,,86
1/4/18 0:00,2791,,,,79
1/5/18 0:00,3390,,,,131
1/6/18 0:00,6966,,,,111
